mode,en,rep,term,ko,grade,level,followed_decoy,decoy,issues,finish,sentence
term,conjoined,연합-,연합-,의사의 문서에 연합-가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned conjoined.
term,cyst of prostate,전립샘 낭,전립샘 낭,보고서는 이 환자에서 전립샘 낭을 기록했다.,정답(대표),exact,,,[],stop,The report documented cyst of prostate in this patient.
term,fiberoptic endoscopic,광섬유내시경,광섬유내시경,의사의 문서에서 광섬유내시경을 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned fiberoptic endoscopic.
term,anaphylactoid crisis,아나필락시스유사위기,아나필락시스유사위기,의사의 문서에 아나필락시스유사위기가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned anaphylactoid crisis.
term,holoparasite,완전기생체,완전기생체,의사의 문서에는 완전기생체가 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned holoparasite.
term,cataract ou,두눈 백내장,두눈 백내장,의사의 문서에는 두눈 백내장이 언급되어 있었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned cataract ou.
term,hydropneumothorax,물공기가슴증,물공기가슴증,보고서는 이 환자에서 물공기가슴증을 문서화했다.,정답(대표),exact,,,[],stop,The report documented hydropneumothorax in this patient.
term,myotonia,근긴장증,근긴장증,보고서는 이 환자에게서 근긴장증을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented myotonia in this patient.
term,pericanalicular,소관주위-,소관주위-,의사의 문서에서 소관주위-를 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned pericanalicular.
term,carpenter's syndrome,카펜터 증후군,카펜터 증후군,보고서는 이 환자에게서 카펜터 증후군을 기록했다.,정답(대표),exact,,,[],stop,The report documented carpenter's syndrome in this patient.
term,intermenstruum,월경간기,월경간기,의사의 문서에 월경간기가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned intermenstruum.
term,cabot ring bodies,카보트고리소체,카보트고리소체,의사의 문서에 카보트고리소체가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned cabot ring bodies.
term,organic writer's cramp,기질성 서경,기질성 서경,보고서는 이 환자에게 기질성 서경이 있음을 문서화했다.,정답(대표),exact,,,[],stop,The report documented organic writer's cramp in this patient.
term,perform diversional care,전환간호 수행,전환간호 수행,의사의 문서는 전환간호 수행을 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned perform diversional care.
term,postmenopausal bleeding,폐경기후 출혈,폐경기후 출혈,보고서는 이 환자의 폐경기후 출혈을 기록했다.,정답(대표),exact,,,[],stop,The report documented postmenopausal bleeding in this patient.
term,pit carries,오목부분 우식,오목부분 우식,보고서는 이 환자의 오목부분 우식을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented pit carries in this patient.
term,ulcerative gingivitis (chronic),궤양성 치은염(잇몸염)(만성),궤양성 치은염(잇몸염)(만성),의사의 문서에는 궤양성 치은염(잇몸염)(만성)이 언급되어 있었다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned ulcerative gingivitis (chronic).
term,plating method,평판배양법,평판배양법,의사의 문서에 평판배양법이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned plating method.
term,macular holes,황반 원공,황반 원공,의사의 문서에서는 황반 원공을 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned macular holes.
term,dying process deteriorated,임종과정 악화됨,임종과정 악화됨,의사의 문서에는 임종과정 악화됨이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned dying process deteriorated.
term,mediastinotomy,세로칸절개(술),세로칸절개(술),의사의 문서에 세로칸절개(술)가 언급되었다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned mediastinotomy.
term,vegetant intravascular hemangioendothelioma,증식혈관내혈관내피종,증식혈관내혈관내피종,의사의 문서에 증식혈관내혈관내피종이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned vegetant intravascular hemangioendothelioma.
term,skull view,두부촬영,두부촬영,의사의 문서에 두부촬영이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned skull view.
term,nerve root injury,척추 신경뿌리의 손상,척추 신경뿌리의 손상,보고서는 이 환자에서 척추 신경뿌리의 손상을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented nerve root injury in this patient.
term,clay stool,회색변,회색변,의사의 문서에 회색변이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned clay stool.
term,von hippel-lindau disease,폰히펠-린다우병,폰히펠-린다우병,의사의 문서에 폰히펠-린다우병이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned von hippel-lindau disease.
term,arthroscopic menisectomy,관절경 이용 초승달 절제,관절경 이용 초승달 절제,보고서는 이 환자에서 관절경 이용 초승달 절제를 기록했습니다.,정답(대표),exact,,,[],stop,The report documented arthroscopic menisectomy in this patient.
term,anthracosis,탄분증,탄분증,이 보고서는 이 환자의 탄분증을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented anthracosis in this patient.
term,endocervical hyperplasia,자궁목내막과다형성,자궁목내막과다형성,의사의 서류에서 자궁목내막과다형성을 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned endocervical hyperplasia.
term,apicoectomy,치근첨절제(술),치근첨절제술,보고서는 이 환자에서 치근첨절제술을 기록하였다.,오답,-,,,[],stop,The report documented apicoectomy in this patient.
term,palpating,촉진하기,촉진하기,의사의 문서에 촉진하기가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned palpating.
term,anesthesiologist,마취과의사,마취과의사,의사의 문서에 마취과의사가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned anesthesiologist.
term,operative cholangiography,수술쓸개관조영(술),수술쓸개관조영(술),의사의 문서에 수술쓸개관조영(술)이 언급되었습니다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned operative cholangiography.
term,pilomatrixoma,털바탕질종,털바탕질종,이 환자에서 털바탕질종이 보고되었습니다.,정답(대표),exact,,,[],stop,The report documented pilomatrixoma in this patient.
term,foville syndrome,포비유 증후군,포비유 증후군,보고서는 이 환자에게서 포비유 증후군을 기록했다.,정답(대표),exact,,,[],stop,The report documented foville syndrome in this patient.
term,ischial tuberosity structure,궁둥뼈결절,궁둥뼈결절,의사의 문서에 궁둥뼈결절이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned ischial tuberosity structure.
term,frolement,미세마찰음,미세마찰음,의사의 문서에 미세마찰음이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned frolement.
term,neurodeatrophia,망막위축,망막위축,의사의 문서에 망막위축이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned neurodeatrophia.
term,cold sore,입술헤르페스,입술헤르페스,의사의 문서에서 입술헤르페스를 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned cold sore.
term,assess breastfeeding support,모유수유지지 사정,모유수유지지 사정,의사의 문서에는 모유수유지지 사정이 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned assess breastfeeding support.
term,iridocoloboma,홍채결손,홍채결손,의사의 문서에 홍채결손이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned iridocoloboma.
term,basal seat,의치지지조직,의치지지조직,의사의 문서에서 의치지지조직을 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned basal seat.
term,senile(atrophic) vaginitis,노년(위축) 질염,노년(위축) 질염,보고서는 이 환자에게 노년(위축) 질염이 있음을 기록했습니다.,정답(대표),exact,,,['bad_chars'],stop,The report documented senile(atrophic) vaginitis in this patient.
term,biopsy of cul-de-sac,막힌주머니 생검,막힌주머니 생검,보고서는 이 환자에서 막힌주머니 생검을 문서화했습니다.,정답(대표),exact,,,[],stop,The report documented biopsy of cul-de-sac in this patient.
term,medullary canal,골수공간,골수공간,의사의 문서에 골수공간이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned medullary canal.
term,cathemoglobin,카트헤모글로빈,카트헤모글로빈,의사의 문서에 카트헤모글로빈이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned cathemoglobin.
term,intrahepatic,간내-,간내-,의사의 문서에서 간내-가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned intrahepatic.
term,multicystic kidney disease,다낭신장병,다낭신장병,보고서는 이 환자에게서 다낭신장병을 기록하였다.,정답(대표),exact,,,[],stop,The report documented multicystic kidney disease in this patient.
term,wrist joint,요골수근관절,요골수근관절,의사의 문서에는 요골수근관절이 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned wrist joint.
term,reciprocal shaker,왕복진탕기,왕복진탕기,의사의 문서에 왕복진탕기가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned reciprocal shaker.
term,apical surgery,치근단 수술,치근단 수술,의사의 문서에 치근단 수술이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned apical surgery.
term,erythema migrans,이동성 홍반,이동성 홍반,보고서는 이 환자에서 이동성 홍반을 기록했다.,정답(대표),exact,,,[],stop,The report documented erythema migrans in this patient.
term,microencephaly,작은뇌증,작은뇌증,의사의 문서에서 작은뇌증을 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned microencephaly.
term,antifibrinolysin,항섬유소용해소제,항섬유소용해소제,의사의 문서에는 항섬유소용해소제가 언급되어 있었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned antifibrinolysin.
term,alpha thalassemia,알파 지중해빈혈,알파 지중해빈혈,보고서는 이 환자에게 알파 지중해빈혈이 있음을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented alpha thalassemia in this patient.
term,nonvascularized bone graft,비혈관뼈이식,비혈관뼈이식,의사의 문서에는 비혈관뼈이식이 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned nonvascularized bone graft.
term,in situ hybridization,제자리부합법,제자리부합법,의사의 문서에서 제자리부합법이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned in situ hybridization.
term,wry neck,기운목,기운목,이 보고서는 이 환자의 기운목을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented wry neck in this patient.
term,single outlet heart,단일유출로심장,단일유출로심장,의사의 문서에 단일유출로심장이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned single outlet heart.
term,lienorenal,지라콩팥-,지라콩팥-,의사의 문서에서 지라콩팥-이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned lienorenal.
term,defervescence,해열,해열,의사의 문서에 해열이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned defervescence.
term,cheondol,천돌(天突),천돌(天突),의사의 문서에 천돌(天突)이 언급되었다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned cheondol.
term,retrognathism,하악후퇴,하악후퇴,의사의 문서에 하악후퇴가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned retrognathism.
term,antineutrophil cytoplasmic antibody,항중성구세포질항체,항중성구세포질항체,의사의 문서에 항중성구세포질항체가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned antineutrophil cytoplasmic antibody.
term,myelalgia,척수통증,척수통증,의사의 문서에 척수통증이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned myelalgia.
term,rolling disease,회전병,회전병,의사의 문서에 회전병이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned rolling disease.
term,lumbosacral enlargement,요천부팽대,요천부팽대,의사의 문서에 요천부팽대가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned lumbosacral enlargement.
term,atriocarotid interval,심방목동맥간격,심방목동맥간격,의사의 문서에서 심방목동맥간격을 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned atriocarotid interval.
term,septal angle,코중격각,코중격각,의사의 문서에 코중격각이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned septal angle.
term,transfusion tests,수혈혈액검사,수혈혈액검사,의사의 문서에 수혈혈액검사가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned transfusion tests.
term,impaired eating behaviour,손상된 식습관 행위,손상된 식습관 행위,의사의 문서에 손상된 식습관 행위가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned impaired eating behaviour.
term,thyroid notch,방패패임,방패패임,의사의 문서에 방패패임이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned thyroid notch.
term,presence of mei,인공중이삽입물의 존재,인공중이삽입물의 존재,보고서는 이 환자에서 인공중이삽입물의 존재를 기록했습니다.,정답(대표),exact,,,[],stop,The report documented presence of mei in this patient.
term,fall risk deteriorated,낙상 위험성 악화됨,낙상 위험성 악화됨,의사의 문서에 낙상 위험성 악화됨이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned fall risk deteriorated.
term,breast stereotactic biopsy,유방 입체정위 생검술,유방 입체정위 생검술,의사의 문서에 유방 입체정위 생검술이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned breast stereotactic biopsy.
term,refractive accomodative esotropia,굴절조절 내사시,굴절조절 내사시,보고서는 이 환자에서 굴절조절 내사시를 기록하였다.,정답(대표),exact,,,[],stop,The report documented refractive accomodative esotropia in this patient.
term,medical indigent,의료급여대상자,의료급여대상자,의사의 서류에서 의료급여대상자를 언급했다.,정답(대표),exact,,,[],stop,The doctor's document mentioned medical indigent.
term,buryu,부류(復溜),부류(復류),의사의 문서에 부류(復溜)가 언급되었다.,오답,-,,,"['span_not_substring', 'bad_chars']",stop,The doctor's document mentioned buryu.
term,dermatopathic lymphadenopathy,피부병림프절병(증),피부병림프절병(증),의사의 문서에 피부병림프절병(증)이 언급되었습니다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned dermatopathic lymphadenopathy.
term,bis in die,1일2회,1일2회,의사의 문서에 1일2회가 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned bis in die.
term,allocentric,타인중심-,타인중심-,의사의 문서에 타인중심-이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned allocentric.
term,internal carotid angiography,두경부동맥조영-내경동맥,두경부동맥조영-내경동맥,이 환자에서 두경부동맥조영-내경동맥이 시행되었습니다.,정답(대표),exact,,,[],stop,internal carotid angiography was performed on this patient.
term,epidermolysis bullosa simplex,단순 수포성 표피박리증,단순 수포성 표피박리증,이 환자에서 단순 수포성 표피박리증을 보고하였다.,정답(대표),exact,,,[],stop,The report documented epidermolysis bullosa simplex in this patient.
term,ventricular asynergy,심실협동불능(증),심실협동불능(증),의사의 문서에 심실협동불능(증)이 언급되었습니다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned ventricular asynergy.
term,upper extremity,위팔,위팔,의사의 문서에 위팔이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned upper extremity.
term,perianal haematoma,항문주위혈종,항문주위혈종,보고서에는 이 환자의 항문주위혈종이 기록되어 있다.,정답(대표),exact,,,[],stop,The report documented perianal haematoma in this patient.
term,diastasimetry,녹말효소측정법,녹말효소측정법,의사의 문서에서는 녹말효소측정법이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned diastasimetry.
term,waveform,파형,파형,의사의 문서에 파형이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned waveform.
term,framework try-in,금속구조물 시적,금속구조물 시적,의사의 문서에 금속구조물 시적이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned framework try-in.
term,cystathionine,시스타티오닌,시스타티오닌,의사의 문서에 시스타티오닌이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned cystathionine.
term,major amblyoscope,대형 약시경,대형 약시경,의사의 문서에 대형 약시경이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned major amblyoscope.
term,radiodermatitis,방사선피부염,방사선피부염,보고서는 이 환자에게서 방사선피부염을 기록했다.,정답(대표),exact,,,[],stop,The report documented radiodermatitis in this patient.
term,turbidometric technique,혼탁도측정기법,혼탁도측정기법,의사의 문서는 혼탁도측정기법을 언급했다.,정답(대표),exact,,,[],stop,The doctor's document mentioned turbidometric technique.
term,tuning curve,동조곡선,동조곡선,의사의 문서에 동조곡선이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned tuning curve.
term,benign familial hematuria,양성 가족성 혈뇨,양성 가족성 혈뇨,보고서는 이 환자에서 양성 가족성 혈뇨를 기록했습니다.,정답(대표),exact,,,[],stop,The report documented benign familial hematuria in this patient.
term,complex echo pattern,복잡메아리,복잡메아리,의사의 문서에 복잡메아리가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned complex echo pattern.
term,preleukaemia (syndrome),전백혈병(증후군),전백혈병(증후군),보고서는 이 환자에서 전백혈병(증후군)을 기록했다.,정답(대표),exact,,,['bad_chars'],stop,The report documented preleukaemia (syndrome) in this patient.
term,prolonged latent phase,지연된 잠복기,지연된 잠복기,보고서는 이 환자에서 지연된 잠복기를 문서화했습니다.,정답(대표),exact,,,[],stop,The report documented prolonged latent phase in this patient.
term,corynebacterium pseudotuberculosis,거짓결핵균,거짓결핵균,의사의 문서에 거짓결핵균이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned corynebacterium pseudotuberculosis.
term,gonadoadvent,생식기능출현기,생식기능출현기,의사의 문서에 생식기능출현기가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned gonadoadvent.
term,neck righting reflex,목바로잡기반사,목바로잡기반사,의사의 문서에서 목바로잡기반사를 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned neck righting reflex.
term,peritomy,윤부결막절개(술),윤부결막절개(술),의사의 문서에 윤부결막절개(술)이 언급되었다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned peritomy.
term,haematosalpinx,혈난관,혈난관,보고서는 이 환자에서 혈난관을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented haematosalpinx in this patient.
term,stomatomy,자궁구절개(술),자궁구절개(술),의사의 문서에 자궁구절개(술)이 언급되어 있었다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned stomatomy.
term,oncofetal,종양태아-,종양태아-,의사의 문서에 종양태아-가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned oncofetal.
term,removal of restoration,기존 보철물 제거,기존 보철물 제거,이 환자에서 기존 보철물 제거를 기록하였다.,정답(대표),exact,,,[],stop,The report documented removal of restoration in this patient.
term,hypothalamic-pituitary-adrenal axis,시상하부-뇌하수체-부신축,시상하부-뇌하수체-부신축,의사의 문서에 시상하부-뇌하수체-부신축이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned hypothalamic-pituitary-adrenal axis.
term,late post-traumatic seizures,외상후 지연 발작,외상후 지연 발작,의사의 문서에 외상후 지연 발작이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned late post-traumatic seizures.
term,acne keloidalis,흉터종여드름,흉터종여드름,의사의 문서에 흉터종여드름이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned acne keloidalis.
term,direct coombs test,직접쿰즈검사,직접쿰즈검사,의사의 문서에는 직접쿰즈검사가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned direct coombs test.
term,sequestrectomy of skull,머리뼈 부골 절제,머리뼈 부골 절제,보고서는 이 환자에서 머리뼈 부골 절제를 기록했습니다.,정답(대표),exact,,,[],stop,The report documented sequestrectomy of skull in this patient.
term,periodic rhinitis,주기코염,주기코염,의사의 문서에는 주기코염이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned periodic rhinitis.
term,vesicorectal fistula,방광직장루,방광직장루,보고서는 이 환자에게 방광직장루가 있음을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented vesicorectal fistula in this patient.
term,schistasis,갈림증,갈림증,의사의 문서에 갈림증이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned schistasis.
term,oxidizing color,산화염료,산화염료,의사의 문서에 산화염료가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned oxidizing color.
term,microincision,미세절개,미세절개,의사의 문서에 미세절개가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned microincision.
term,rosacea,주사,주사,이 보고서는 이 환자에서 주사를 문서화했습니다.,정답(대표),exact,,,[],stop,The report documented rosacea in this patient.
term,coalescent mastoiditis,융합꼭지돌기염,융합꼭지돌기염,보고서는 이 환자에게 융합꼭지돌기염이 있음을 문서화했습니다.,정답(대표),exact,,,[],stop,The report documented coalescent mastoiditis in this patient.
term,intraocular,안구내-,안구내,의사의 문서에 안구내가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned intraocular.
term,laceration of back,등 열상,등 열상,보고서는 이 환자에서 등 열상을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented laceration of back in this patient.
term,colpocystocele,질방광탈출(증),질방광탈출(증),의사의 문서에서 질방광탈출(증)이 언급되었습니다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned colpocystocele.
term,protrusive position,전방위,전방위,의사의 문서에 전방위가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned protrusive position.
term,grafting,이식,이식,의사의 문서에 이식이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned grafting.
term,dislocation of midcarpal(joint),중간수근골(관절)의 탈구,중간수근골(관절)의 탈구,보고서는 이 환자에서 중간수근골(관절)의 탈구를 기록했다.,정답(대표),exact,,,['bad_chars'],stop,The report documented dislocation of midcarpal(joint) in this patient.
term,fecal concentration,대변농축(법),대변농축(법),의사의 문서에 대변농축(법)이 언급되었다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned fecal concentration.
term,recession operation,뒤옮김술,뒤옮김술,의사의 문서에 뒤옮김술이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned recession operation.
term,ebonation,뼈조각제거,뼈조각제거,의사의 문서에 뼈조각제거가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned ebonation.
term,zosteriform lentiginous nevus,띠모양흑(색)점모반,띠모양흑(색)점모반,의사의 문서에 띠모양흑(색)점모반이 언급되어 있었다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned zosteriform lentiginous nevus.
term,supraduodenal artery,샘창자위동맥,샘창자위동맥,의사의 문서에 샘창자위동맥이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned supraduodenal artery.
term,thyroidea ima artery,맨아래갑상동맥,맨아래갑상동맥,의사의 문서에 맨아래갑상동맥이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned thyroidea ima artery.
term,cryptococcal meningocerebritis,크립토콕쿠스수막대뇌염,크립토콕쿠스수막대뇌염,보고서는 이 환자에서 크립토콕쿠스수막대뇌염을 기록하였다.,정답(대표),exact,,,[],stop,The report documented cryptococcal meningocerebritis in this patient.
term,endothelial adhesion molecule,내피부착분자,내피부착분자,의사의 문서에 내피부착분자가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned endothelial adhesion molecule.
term,pleurothecal anastomosis,가슴막-척수막 연결,가슴막-척수막 연결,이 보고서는 이 환자에서 가슴막-척수막 연결을 문서화했다.,정답(대표),exact,,,[],stop,The report documented pleurothecal anastomosis in this patient.
term,polymyalgia rheumatica,류마티스성 다발근통,류마티스성 다발근통,보고서는 이 환자에서 류마티스성 다발근통을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented polymyalgia rheumatica in this patient.
term,voluntomotory,수의운동-,수의운동-,의사의 문서에서 수의운동-이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned voluntomotory.
term,retention of urine,소변정체,소변정체,보고서는 이 환자에서 소변정체를 기록했다.,정답(대표),exact,,,[],stop,The report documented retention of urine in this patient.
term,supporting spiritual rituals,영적의식 지지하기,영적의식 지지하기,의사의 문서는 영적의식 지지하기를 언급했다.,정답(대표),exact,,,[],stop,The doctor's document mentioned supporting spiritual rituals.
term,epigastric artery,배벽동맥,배벽동맥,의사의 문서에 배벽동맥이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned epigastric artery.
term,source qi,원기,원기,의사의 문서에 원기가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned source qi.
term,polychromatophilic erythrocyte,다염적혈구,다염적혈구,의사의 문서에는 다염적혈구가 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned polychromatophilic erythrocyte.
term,endorectal pull-through operation,직장내 풀-스루식 수술,직장내 풀-스루식 수술,보고서는 이 환자에서 직장내 풀-스루식 수술을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented endorectal pull-through operation in this patient.
term,defective interfering particle,결손간섭입자,결손간섭입자,의사의 문서는 결손간섭입자를 언급했다.,정답(대표),exact,,,[],stop,The doctor's document mentioned defective interfering particle.
term,physics depth sensitivity,물리적깊이민감도,물리적깊이민감도,의사의 문서는 물리적깊이민감도를 언급했습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned physics depth sensitivity.
term,dialysis adequacy,투석충분도,투석충분도,의사의 문서에 투석충분도가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned dialysis adequacy.
term,apneustic respiration,지속흡입호흡,지속흡입호흡,의사의 문서에 지속흡입호흡이 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned apneustic respiration.
term,citrate,구연산,구연산,의사의 문서에 구연산이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned citrate.
term,forehead,전두,전두,의사의 문서에 전두가 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned forehead.
term,extracoronal,치관외-,치관외-,의사의 문서에서 치관외-가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned extracoronal.
term,mongoloid slant,몽골인 모양 눈,몽골인 모양 눈,의사의 문서에는 몽골인 모양 눈이 언급되어 있었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned mongoloid slant.
term,altimeter sickness,고산병,고산병,보고서는 이 환자의 고산병을 문서화했다.,정답(대표),exact,,,[],stop,The report documented altimeter sickness in this patient.
term,failed forceps,집게 사용 실패,집게 사용 실패,보고서는 이 환자에서 집게 사용 실패를 기록했다.,정답(대표),exact,,,[],stop,The report documented failed forceps in this patient.
term,trypanocidal,파동편모충박멸-,파동편모충박멸-,의사의 문서가 파동편모충박멸-을 언급했다.,정답(대표),exact,,,[],stop,The doctor's document mentioned trypanocidal.
term,amphorophony,공동공명음,공동공명음,의사의 문서에 공동공명음이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned amphorophony.
term,pyroglyphidae,집먼지진드기(과),집먼지진드기(과),의사의 문서에 집먼지진드기(과)가 언급되어 있었다.,정답(대표),exact,,,['bad_chars'],stop,The doctor's document mentioned pyroglyphidae.
term,rhabdomyomyxoma,횡문근점액종,횡문근점액종,의사의 문서에 횡문근점액종이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned rhabdomyomyxoma.
term,cranial dermal sinus,뇌피부동,뇌피부동,보고서는 이 환자에서 뇌피부동을 기록했습니다.,정답(대표),exact,,,[],stop,The report documented cranial dermal sinus in this patient.
term,suprapubic prostatectomy,두덩뼈 위쪽 경유 전립샘 절제,두덩뼈 위쪽 경유 전립샘 절제,이 환자에서 두덩뼈 위쪽 경유 전립샘 절제가 보고되었습니다.,정답(대표),exact,,,[],stop,The report documented suprapubic prostatectomy in this patient.
